region,operator,network_or_brand,tariff_or_plan,access_method,charger_category,power_kw_min,power_kw_max,currency,price_per_kwh,under_0_50_gbp_per_kwh,monthly_fee_gbp,connection_or_holding_fee_gbp,overstay_fee,source_url,source_quality,last_checked,notes
United Kingdom incl. Northern Ireland where available,bp pulse,bp pulse,Subscriber / lower app rate,bp pulse subscription/app,Fast AC,7,7,GBP,0.52,FALSE,,,,https://www.bppulse.com/en-gb/public-ev-charging/pricing,medium,2026-04-30,"Official pricing search result; page fetch blocked but snippet lists Fast AC 7kW GBP 0.52 / GBP 0.65 columns. Verify in app before relying."
United Kingdom incl. Northern Ireland where available,bp pulse,bp pulse,PAYG / guest/contactless,bp pulse app/contactless/guest,Fast AC,7,7,GBP,0.65,FALSE,,,,https://www.bppulse.com/en-gb/public-ev-charging/pricing,medium,2026-04-30,"Official pricing search result; contactless may not be available on 7kW. Verify in app."
United Kingdom incl. Northern Ireland where available,bp pulse,bp pulse,Subscriber / lower app rate,bp pulse subscription/app,Rapid AC43/DC50,43,50,GBP,0.69,FALSE,,,,https://www.bppulse.com/en-gb/public-ev-charging/pricing,medium,2026-04-30,"Official pricing search result lists Rapid AC43/DC50 GBP 0.69 / GBP 0.89 columns. Verify in app."
United Kingdom incl. Northern Ireland where available,bp pulse,bp pulse,PAYG / guest/contactless,bp pulse app/contactless/guest,Rapid AC43/DC50,43,50,GBP,0.89,FALSE,,,,https://www.bppulse.com/en-gb/public-ev-charging/pricing,medium,2026-04-30,"Official pricing search result; a BP Pulse NI site was visible on Zapmap in Craigavon. Verify in app."
United Kingdom incl. Northern Ireland where available,bp pulse,bp pulse,Subscriber / lower app rate,bp pulse subscription/app,Ultrafast DC150+,150,,GBP,0.69,FALSE,,,,https://www.bppulse.com/en-gb/public-ev-charging/pricing,medium,2026-04-30,"Official pricing search result lists Ultrafast DC150+ GBP 0.69 / GBP 0.89 columns. Verify in app."
United Kingdom incl. Northern Ireland where available,bp pulse,bp pulse,PAYG / guest/contactless,bp pulse app/contactless/guest,Ultrafast DC150+,150,,GBP,0.89,FALSE,,,,https://www.bppulse.com/en-gb/public-ev-charging/pricing,medium,2026-04-30,"Official pricing search result; a BP Pulse NI site was visible on Zapmap in Craigavon. Verify in app."
United Kingdom incl. Northern Ireland where available,Osprey,Osprey Charging,App rate,Osprey app,Rapid/Ultra Rapid,,,GBP,0.82,FALSE,,,No connection fees,https://www.ospreycharging.co.uk/pricing-and-payment,high,2026-04-30,Official Osprey UK pricing; verify NI site coverage.
United Kingdom incl. Northern Ireland where available,Osprey,Osprey Charging,Contactless rate,contactless/card,Rapid/Ultra Rapid,,,GBP,0.87,FALSE,,,No connection fees,https://www.ospreycharging.co.uk/pricing-and-payment,high,2026-04-30,Official Osprey UK pricing; verify NI site coverage.
United Kingdom incl. Northern Ireland where available,Applegreen Electric,Applegreen Electric,Displayed on charger,app/contactless,Ultra Rapid up to 350kW,,350,GBP,,UNKNOWN,,pre-authorisation fee displayed at charger,,https://www.applegreenelectric.com/contact,medium,2026-04-30,"No public fixed UK/NI kWh price found. Applegreen says price/kWh is displayed on charger, no membership/subscription cost, prices can change at short notice."
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Site-level Zapmap example: Templepatrick Services M2 North,various,Fast,0,22,GBP,0.49,TRUE,,0.25 connection fee,"GBP 8 overstay fee after 45 min rapid/ultra; after 10h fast",https://www.zapmap.com/charge-points/newtownabbey/5t0agmr,medium,2026-04-30,"Zapmap site-level example updated 2026-04-27; useful for cross-checking ESB PAYG/site prices."
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Site-level Zapmap example: Templepatrick Services M2 North,various,Rapid,22,100,GBP,0.57,FALSE,,0.25 connection fee,"GBP 8 overstay fee after 45 min rapid/ultra; after 10h fast",https://www.zapmap.com/charge-points/newtownabbey/5t0agmr,medium,2026-04-30,"Zapmap site-level example rounds rapid price to 57p/kWh; official ESB PAYG table says GBP 0.577/kWh."
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Site-level Zapmap example: Templepatrick Services M2 North,various,Ultra-Rapid,150,,GBP,0.67,FALSE,,0.25 connection fee,"GBP 8 overstay fee after 45 min rapid/ultra; after 10h fast",https://www.zapmap.com/charge-points/newtownabbey/5t0agmr,medium,2026-04-30,"Zapmap site-level example; official ESB PAYG high power table says GBP 0.670/kWh."
Ireland / UK reference,Operator list only,Irish EV Association app/operator list,Reference row,n/a,n/a,,,GBP,,UNKNOWN,,,,https://www.irishevassociation.ie/charging-apps,low,2026-04-30,"Reference row: Irish EV Association lists apps/operators relevant across Ireland/UK/NI, but it does not publish tariffs here. Useful for deciding which networks to verify."
