operator,brand_or_site,network,country_scope,plan_or_tariff,charger_type,min_power_kw,max_power_kw,price_per_kwh,currency,under_0_50_eur_per_kwh,monthly_fee,session_or_access_fee,overstay_or_idle_fee,payment_method,source_url,source_type,valid_from_or_source_date,retrieved_date,confidence,notes
ePower,ePower,ePower,Republic of Ireland,eVeryday discounted rate,DC / HPC,100,,0.66,EUR,FALSE,,,,ePower app,https://www.epower.ie/everyday/,official,,2026-04-30,High,Rates apply to ePower chargers; other charge point prices vary and are shown in app.
EZO / EasyGo,Lidl Ireland,EZO / EasyGo,Republic of Ireland,Lidl store tariff,AC,0,22,0.45,EUR,TRUE,,,,EasyGo/EZO or web/contactless where available,https://www.lidl.ie/c/electric-vehicle-charging-points/s10020571,official,,2026-04-30,High,Lidl says AC charging available for €0.45/kWh at selected stores.
EZO / EasyGo,Lidl Ireland,EZO / EasyGo,Republic of Ireland,Lidl store tariff,DC,,,0.5,EUR,FALSE,,,,EasyGo/EZO or web/contactless where available,https://www.lidl.ie/c/electric-vehicle-charging-points/s10020571,official,,2026-04-30,High,Lidl says DC charging is €0.50/kWh at selected stores; this is not under €0.50.
EZO / EasyGo,EZO network,EZO / EasyGo,Republic of Ireland,General public tariff from secondary source,AC,0,22,0.45,EUR,TRUE,,€0.27 access fee,,,https://www.carzone.ie/motoring-advice/fastest-ev-chargers-ireland-and-how-much-they-cost/10803,secondary,,2026-04-30,Medium,Carzone summarises EZO pricing as from €0.45/kWh AC and €0.50/kWh DC; site-level prices may vary.
EZO / EasyGo,EZO network,EZO / EasyGo,Republic of Ireland,General public tariff from secondary source,DC,,350,0.5,EUR,FALSE,,€0.27 access fee,,,https://www.carzone.ie/motoring-advice/fastest-ev-chargers-ireland-and-how-much-they-cost/10803,secondary,,2026-04-30,Medium,Carzone summarises EZO pricing as from €0.45/kWh AC and €0.50/kWh DC; site-level prices may vary.
Brite Charging,Brite Galway,Brite,Republic of Ireland,Weekday,AC,0,22,0.5,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Weekend,AC,0,22,0.52,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Overnight,AC,0,22,0.48,EUR,TRUE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Weekday,Rapid DC,240,240,0.61,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Weekend,Rapid DC,240,240,0.65,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Overnight,Rapid DC,240,240,0.55,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Weekday,Ultra DC,300,300,0.63,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Weekend,Ultra DC,300,300,0.68,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
Brite Charging,Brite Galway,Brite,Republic of Ireland,Overnight,Ultra DC,300,300,0.56,EUR,FALSE,,,,,https://www.irishevassociation.ie/news/brite-ev-charging-launches-simpler-fairer-pricing-across-galway,secondary/association report,,2026-04-30,Medium,"Irish EV Association report dated 13 Oct 2025. Brite site has a pricing page, but this row uses the association summary text."
IONITY,IONITY Ireland,IONITY,Republic of Ireland,IONITY Power monthly,HPC,150,350,0.46,EUR,TRUE,€11.99/month,,,,https://www.ionity.eu/network/access-and-payments,official,,2026-04-30,High,IONITY lists Ireland country prices; page notes charging station price may be higher than displayed minimums and may change.
IONITY,IONITY Ireland,IONITY,Republic of Ireland,IONITY Power 365 annual,HPC,150,350,0.46,EUR,TRUE,€119.99/year or discounted €99.99/year shown,,,,https://www.ionity.eu/network/access-and-payments,official,,2026-04-30,High,IONITY lists Ireland country prices; page notes charging station price may be higher than displayed minimums and may change.
IONITY,IONITY Ireland,IONITY,Republic of Ireland,IONITY Motion monthly,HPC,150,350,0.58,EUR,FALSE,€5.99/month,,,,https://www.ionity.eu/network/access-and-payments,official,,2026-04-30,High,IONITY lists Ireland country prices; page notes charging station price may be higher than displayed minimums and may change.
IONITY,IONITY Ireland,IONITY,Republic of Ireland,IONITY Motion 365 annual,HPC,150,350,0.58,EUR,FALSE,€59.99/year or discounted €49.99/year shown,,,,https://www.ionity.eu/network/access-and-payments,official,,2026-04-30,High,IONITY lists Ireland country prices; page notes charging station price may be higher than displayed minimums and may change.
IONITY,IONITY Ireland,IONITY,Republic of Ireland,IONITY App / Go,HPC,150,350,0.77,EUR,FALSE,,,,,https://www.ionity.eu/network/access-and-payments,official,,2026-04-30,High,IONITY lists Ireland country prices; page notes charging station price may be higher than displayed minimums and may change.
IONITY,IONITY Ireland,IONITY,Republic of Ireland,IONITY Direct,HPC,150,350,0.81,EUR,FALSE,,,,,https://www.ionity.eu/network/access-and-payments,official,,2026-04-30,High,IONITY lists Ireland country prices; page notes charging station price may be higher than displayed minimums and may change.
Tesla,Tesla Supercharger open to other EVs,Tesla Supercharger,Republic of Ireland,Non-Tesla PAYG off-peak estimate,DC/HPC,,250,0.57,EUR,FALSE,,,,,https://www.completecar.ie/car-news/article/12947/Tesla-opens-Irish-Superchargers-to-all-electric-cars,secondary,,2026-04-30,Low,Tesla official page says prices vary and membership lowers per-kWh; secondary article gives 57c-64c range. Check Tesla app for exact site/time.
Tesla,Tesla Supercharger open to other EVs,Tesla Supercharger,Republic of Ireland,Non-Tesla PAYG peak estimate,DC/HPC,,250,0.64,EUR,FALSE,,,,,https://www.completecar.ie/car-news/article/12947/Tesla-opens-Irish-Superchargers-to-all-electric-cars,secondary,,2026-04-30,Low,Tesla official page says prices vary and membership lowers per-kWh; secondary article gives 57c-64c range. Check Tesla app for exact site/time.
Tesla,Tesla Supercharger open to other EVs,Tesla Supercharger,Republic of Ireland,Supercharging Membership off-peak estimate,DC/HPC,,250,0.42,EUR,TRUE,€12.99/month,,,,https://www.completecar.ie/car-news/article/12947/Tesla-opens-Irish-Superchargers-to-all-electric-cars,secondary,,2026-04-30,Low,Tesla official page says prices vary and membership lowers per-kWh; secondary article gives 42c off-peak. Check Tesla app for exact site/time.
Tesla,Tesla Supercharger open to other EVs,Tesla Supercharger,Republic of Ireland,Supercharging Membership peak estimate,DC/HPC,,250,0.467,EUR,TRUE,€12.99/month,,,,https://www.completecar.ie/car-news/article/12947/Tesla-opens-Irish-Superchargers-to-all-electric-cars,secondary,,2026-04-30,Low,Tesla official page says prices vary and membership lowers per-kWh; secondary article gives 46.7c peak. Check Tesla app for exact site/time.
Applegreen Electric,Applegreen Electric,Applegreen Electric,Republic of Ireland,Example unit price shown in FAQ,Ultra-fast DC,,350,0.73,EUR,FALSE,,,,,https://www.applegreenelectric.com/contact,official,,2026-04-30,Medium,"Official FAQ gives an example calculation using €0.73/kWh and says price can change at short notice; treat as indicative, not network-wide fixed tariff."
Applegreen Electric,Applegreen Electric,Applegreen Electric,Republic of Ireland,App rate estimate from public comparison,Ultra-fast DC,,350,0.68,EUR,FALSE,,,,,https://eleport.com/price-report/,secondary/comparison,,2026-04-30,Low,Eleport 2026 comparison lists Applegreen Electric app price around €0.68/kWh and ad-hoc around €0.73/kWh; verify in Applegreen app.
InstaVolt,InstaVolt Ireland,InstaVolt,Republic of Ireland,Standard public tariff,Rapid/Ultra DC,,160,0.85,EUR,FALSE,,,,Contactless/app,https://instavolt.ie/faqs/,official,,2026-04-30,High,InstaVolt Ireland FAQ states all chargers cost €0.85/kWh with no membership or connection fee.
Circle K,Circle K own-brand chargers,Circle K,Republic of Ireland,Ad-hoc estimate from public comparison,High-speed DC,100,,0.69,EUR,FALSE,,,,,https://eleport.com/price-report/,secondary/comparison,,2026-04-30,Low,Circle K Ireland pages describe high-speed charging but did not expose a public kWh price in the retrieved page; Eleport comparison lists €0.69/kWh. Verify on charger/app.
Weev,Weev,Weev,Ireland / UK source currency,My Weev App,AC,7,11,0.44,GBP,,,,,,https://weev.ie/our-network/driver-resources/our-tariffs,official,,2026-04-30,Medium,Weev tariff page says pricing for Northern Ireland and Republic of Ireland but displays £ values; do not treat as EUR without verification/conversion.
Weev,Weev,Weev,Ireland / UK source currency,Contactless,AC,7,11,0.49,GBP,,,,,,https://weev.ie/our-network/driver-resources/our-tariffs,official,,2026-04-30,Medium,Weev tariff page says pricing for Northern Ireland and Republic of Ireland but displays £ values; do not treat as EUR without verification/conversion.
Weev,Weev,Weev,Ireland / UK source currency,My Weev App,Rapid DC,24,60,0.59,GBP,,,,,,https://weev.ie/our-network/driver-resources/our-tariffs,official,,2026-04-30,Medium,Weev tariff page says pricing for Northern Ireland and Republic of Ireland but displays £ values; do not treat as EUR without verification/conversion.
Weev,Weev,Weev,Ireland / UK source currency,Contactless,Rapid DC,24,60,0.64,GBP,,,,,,https://weev.ie/our-network/driver-resources/our-tariffs,official,,2026-04-30,Medium,Weev tariff page says pricing for Northern Ireland and Republic of Ireland but displays £ values; do not treat as EUR without verification/conversion.
Weev,Weev,Weev,Ireland / UK source currency,My Weev App,Ultra Rapid DC,100,,0.69,GBP,,,,,,https://weev.ie/our-network/driver-resources/our-tariffs,official,,2026-04-30,Medium,Weev tariff page says pricing for Northern Ireland and Republic of Ireland but displays £ values; do not treat as EUR without verification/conversion.
Weev,Weev,Weev,Ireland / UK source currency,Contactless,Ultra Rapid DC,100,,0.74,GBP,,,,,,https://weev.ie/our-network/driver-resources/our-tariffs,official,,2026-04-30,Medium,Weev tariff page says pricing for Northern Ireland and Republic of Ireland but displays £ values; do not treat as EUR without verification/conversion.
GOcharge,GOcharge,GOcharge,Republic of Ireland,Public app pricing not found,,,,,EUR,,,,,,https://www.gocharge.ie/charge-with-us/,official,,2026-04-30,Low,GOcharge site says to download app / contact for info; no public €/kWh rate found in quick search.
